1,Ingreso,2022-01-01,120.50,Tarjeta de credito,1,Sin descripcion
2,Egreso,2022-01-02,80.30,Efectivo,2,Sin descripcion
3,Ingreso,2022-01-03,150.00,Tarjeta de debito,3,Sin descripcion
4,Egreso,2022-01-04,60.00,En linea,4,Sin descripcion
5,Ingreso,2022-01-05,200.00,Tarjeta de credito,5,Sin descripcion
6,Egreso,2022-01-06,90.00,Efectivo,6,Sin descripcion
7,Ingreso,2022-01-07,130.00,Tarjeta de debito,7,Sin descripcion
8,Egreso,2022-01-08,70.50,En linea,8,Sin descripcion
9,Ingreso,2022-01-09,180.75,Tarjeta de credito,9,Sin descripcion
11,Ingreso,2022-01-11,120.50,Tarjeta de credito,1,Sin descripcion
13,Ingreso,2022-01-13,150.00,Tarjeta de debito,3,Sin descripcion
14,Egreso,2022-01-14,60.00,En linea,4,Sin descripcion
15,Ingreso,2022-01-15,200.00,Tarjeta de credito,5,Sin descripcion
16,Egreso,2022-01-16,90.00,Efectivo,6,Sin descripcion
17,Ingreso,2022-01-17,130.00,Tarjeta de debito,7,Sin descripcion
18,Egreso,2022-01-18,70.50,En linea,8,Sin descripcion
19,Ingreso,2022-01-19,180.75,Tarjeta de credito,9,Sin descripcion
20,Egreso,2022-01-20,65.00,Efectivo,10,Sin descripcion
21,Ingreso,2022-01-21,120.50,Tarjeta de credito,1,Sin descripcion
22,Egreso,2022-01-22,80.30,Efectivo,2,Sin descripcion
23,Ingreso,2022-01-23,150.00,Tarjeta de debito,3,Sin descripcion
24,Egreso,2022-01-24,60.00,En linea,4,Sin descripcion
25,Ingreso,2022-01-25,200.00,Tarjeta de credito,5,Sin descripcion
26,Egreso,2022-01-26,90.00,Efectivo,6,Sin descripcion
27,Ingreso,2022-01-27,130.00,Tarjeta de debito,7,Sin descripcion
28,Egreso,2022-01-28,70.50,En linea,8,Sin descripcion
29,Ingreso,2022-01-29,180.75,Tarjeta de credito,9,Sin descripcion
30,Egreso,2022-01-30,65.00,Efectivo,10,Sin descripcion
31,Ingreso,2022-02-01,120.50,Tarjeta de credito,1,Sin descripcion
32,Egreso,2022-02-02,80.30,Efectivo,2,Sin descripcion
33,Ingreso,2022-02-03,150.00,Tarjeta de debito,3,Sin descripcion
34,Egreso,2022-02-04,60.00,En linea,4,Sin descripcion
